DrugID,TargetID,label
D0B4SF,T26500,1
D0B4SF,T64765,1
D0U9IJ,T01777,1
D06YZB,T76678,1
D06YZB,T61227,1
D0P6KN,T90782,1
D0ZP2D,T32060,1
D0ZF1W,T32060,1
D07LYU,T82083,1
D07RTQ,T92689,1
D02FCY,T02719,1
D0R8LB,T92640,1
D0R8LB,T95923,1
D0R8LB,T39380,1
D0W1HM,T78709,1
D01ZHW,T18616,1
D0N9SV,T51385,1
D0NL5K,T93788,1
D05PHX,T42724,1
D0V4FZ,T22118,1
D0L3MJ,T22118,1
D0EK6P,T62820,1
D03SAM,T64765,1
D09AQK,T77548,1
D0P5QU,T85115,1
D0R5NA,T85115,1
D08ZJM,T97613,1
D02YIJ,T99954,1
D02YIJ,T85467,1
D02YIJ,T38529,1
D05OIF,T26500,1
D01NPA,T29683,1
D01NPA,T47094,1
D01NPA,T52790,1
D0S3XL,T99816,1
D03PEA,T92689,1
D06GKL,T72595,1
D02NZI,T59604,1
D0HQ0E,T60693,1
D0MU4A,T78709,1
D08DFY,T68782,1
D0R7OD,T16633,1
D0R7OD,T62974,1
D0R7OD,T53024,1
D0R7OD,T13644,1
D03EGA,T14731,1
D00WOK,T82083,1
D0GC9B,T28330,1
D04LEF,T02728,1
D09RSL,T95605,1
D03VGR,T71192,1
D03VGR,T74238,1
D0T6SC,T26500,1
D02MJE,T67684,1
D07CAB,T67684,1
D07MBC,T87670,1
D07MBC,T93788,1
D0N6AY,T31204,1
D0NV5N,T47768,1
D0NV5N,T60693,1
D0NV5N,T58992,1
D00GTU,T85467,1
D0S8AN,T68876,1
D0U7BI,T51115,1
D01OIV,T51408,1
D0X2ZM,T87670,1
D0Z6DG,T95923,1
D0Z6DG,T92640,1
D01UVA,T03818,1
D08HBN,T23714,1
D0D2JB,T29683,1
D01VSI,T39123,1
D06LQH,T46828,1
D08QKF,T03818,1
D06NAM,T72267,1
D06NAM,T87670,1
D09LVP,T76685,1
D00UZO,T87670,1
D08BCH,T86679,1
D08BCH,T92072,1
D0S2LO,T18876,1
D09AZM,T99954,1
D0SY2M,T59875,1
D0G7TT,T77548,1
D08CAB,T22285,1
D08CAB,T72595,1
D08CAB,T56588,1
D0I5TV,T67818,1
D0I6MA,T42724,1
D0I6MA,T86271,1
D0E0DY,T39380,1
D0MS3D,T61722,1
D0MS3D,T68782,1
D04SQY,T30687,1
D04SQY,T72168,1
D0M6OV,T62306,1
D0U7YK,T17523,1
D0U7YK,T13852,1
D07WRP,T53024,1
D0U3WW,T74456,1
D0YK9T,T36557,1
D0R2KL,T68782,1
D0BS7G,T37693,1
D02INF,T37693,1
D0L4PT,T03818,1
D01HRV,T78709,1
D0GH9J,T18616,1
D0K3GQ,T92640,1
D0K3GQ,T39380,1
D0K3GQ,T95923,1
D0H6DZ,T95923,1
D0T2GA,T85467,1
D06VZS,T38529,1
D06VZS,T18876,1
D0V5HV,T07806,1
D0V5HV,T83813,1
D0V5HV,T84117,1
D0V5HV,T78656,1
D0V5HV,T15571,1
D0V5HV,T11072,1
D0V5HV,T79062,1
D0V5HV,T16691,1
D0V5HV,T32060,1
D0V5HV,T31204,1
D01RNA,T13714,1
D01RNA,T51426,1
D02VGS,T05849,1
D05EOW,T80896,1
D04BLO,T97613,1
D02UUO,T17523,1
D0S5DR,T60362,1
D01HRV,T07806,1
D02EWR,T53024,1
D08QXD,T03818,1
D08QXD,T52297,1
D08QXD,T36557,1
D08QXD,T13714,1
D05JKQ,T13644,1
D0O2DN,T16633,1
D04QBM,T62974,1
D05PKR,T64830,1
D0WV5J,T61722,1
D08CEW,T18876,1
D0PN6Z,T77548,1
D0PN6Z,T61243,1
D0OT9B,T22285,1
D0OT9B,T76414,1
D0OT9B,T62276,1
D0OT9B,T56588,1
D0OT9B,T72595,1
D0Z7CZ,T62820,1
D0CW4T,T38529,1
D0CW4T,T85467,1
D0VR8J,T85467,1
D02IVR,T15497,1
D09ULA,T79062,1
D0N7HY,T32060,1
D0N7HY,T31204,1
D01UFF,T22939,1
D04WXI,T77913,1
D0G4CG,T67684,1
D0MC5J,T06182,1
D0MC5J,T86364,1
D0MC5J,T92185,1
D04FHG,T87023,1
D04BYU,T56143,1
D0HI6O,T03818,1
D0V4WT,T52297,1
D0L9RP,T05849,1
D0M9GO,T60693,1
D06OBX,T03818,1
D07COX,T23714,1
D01THG,T28213,1
D0N0GJ,T31227,1
D0D3PZ,T07806,1
D0D3PZ,T11072,1
D09DXN,T00890,1
D0DA9T,T56272,1
D0J0KG,T16691,1
D0J0KG,T79062,1
D0FZ6A,T39380,1
D0Z7CZ,T99347,1
D0Z7CZ,T99402,1
D0Z7CZ,T55956,1
D0Q9FZ,T03818,1
D07AHG,T34234,1
D06FZS,T56272,1
D07TMZ,T72032,1
D03ZNB,T72032,1
D0Z1OF,T32060,1
D0Z1OF,T79062,1
D0Z1OF,T67162,1
D00GSD,T79062,1
D00CDM,T67162,1
D00CDM,T02551,1
D0TC7N,T92072,1
D0TC7N,T86679,1
D0TC7N,T36059,1
D0V6IE,T80513,1
D0V6IE,T28213,1
D0T6ID,T67684,1
D0T5GV,T57943,1
D04DOV,T60362,1
D01CCG,T25608,1
D0S0QY,T25608,1
D0K6EG,T51385,1
D0C5RZ,T99524,1
D04JOG,T03818,1
D04JOG,T86591,1
D03PLH,T38529,1
D03PLH,T85467,1
D03PLH,T99954,1
D03PLH,T61722,1
D03PLH,T75797,1
D03PLH,T68782,1
D03PLH,T18876,1
D03PLH,T76198,1
D0U0VH,T78709,1
D0T9DI,T55654,1
D0C6YC,T55654,1
D0M8VN,T86591,1
D0M8VN,T03818,1
D0EM9A,T58992,1
D0EM9A,T47768,1
D0G1XL,T58992,1
D06JPQ,T59875,1
D0H0OO,T58992,1
D0K6AF,T68876,1
D0J6UH,T65783,1
D0N7NK,T16691,1
D0T0AG,T42724,1
D07YFL,T97613,1
D00GSD,T67162,1
D00GSD,T78709,1
D0X4PH,T32060,1
D0X4PH,T78709,1
D0X4PH,T67162,1
D0X4PH,T79062,1
D0X0UR,T13852,1
D0X0UR,T95923,1
D0X0UR,T13484,1
D0X0UR,T26073,1
D0X0UR,T92640,1
D0X0UR,T58130,1
D07PZQ,T55956,1
D07PZQ,T61243,1
D07PZQ,T77548,1
D0XG6U,T61243,1
D0XG6U,T99402,1
D0XG6U,T55956,1
D0KL4K,T55956,1
D0KL4K,T99402,1
D0KL4K,T61243,1
D0EW6H,T71192,1
D0EW6H,T33902,1
D0EW6H,T74238,1
D03YBH,T71192,1
D03YBH,T33902,1
D03YBH,T74238,1
D0C0KJ,T33902,1
D0C0KJ,T71192,1
D0C0KJ,T74238,1
D01URS,T24983,1
D01URS,T02551,1
D06KBO,T68782,1
D06KBO,T18876,1
D06KBO,T61722,1
D06KBO,T75797,1
D06KBO,T15497,1
D06KBO,T85467,1
D06KBO,T38529,1
D0V4PZ,T61722,1
D0Y6OX,T68782,1
D0Y6OX,T61722,1
D0TM0N,T97613,1
D0K1HD,T97613,1
D08VPN,T90782,1
D07MIE,T33902,1
D0O8AN,T16555,1
D0E3AL,T67162,1
D0X0PF,T98091,1
D09RGZ,T90782,1
D0W9II,T02728,1
D0U9IB,T47094,1
D0J2VQ,T62306,1
D0CK9K,T79062,1
D0CK9K,T15571,1
D0CK9K,T84117,1
D06AUX,T87023,1
D0X6PY,T99954,1
D09TWW,T76198,1
D0D5SK,T58992,1
D0T5EI,T60693,1
D0T5EI,T58992,1
D0T5EI,T47768,1
D06TSQ,T92072,1
D0R1FZ,T97917,1
D0R1FZ,T16336,1
D0R1FZ,T25705,1
D0T4PS,T78709,1
D0Z7OX,T03818,1
D0Z7OX,T86591,1
D03PGV,T55654,1
D01VKI,T47094,1
D05JXE,T13726,1
D0L8NF,T17523,1
D07ZAJ,T38012,1
D07ZAJ,T53186,1
D07ZAJ,T10383,1
D07ZAJ,T78692,1
D0AU0F,T77913,1
D0AU0F,T30985,1
D0Y9IB,T77913,1
D0UG1U,T77913,1
D02OAJ,T93515,1
D02OAJ,T82083,1
D0S4MN,T29678,1
D09WBJ,T24983,1
D0M9ZX,T49072,1
D05TNX,T76198,1
D05TNX,T85467,1
D05TNX,T75797,1
D0M0YH,T97917,1
D0M0YH,T87831,1
D06DRY,T99402,1
D0L9ZQ,T15571,1
D0L9ZQ,T11072,1
D01APL,T11072,1
D01APL,T84117,1
D02GEQ,T93788,1
D0M1UA,T93788,1
D0M8IT,T73859,1
D0BN1U,T75797,1
D0BN1U,T15497,1
D0BN1U,T85467,1
D07GXY,T02551,1
D07GXY,T78709,1
D0S6BX,T47768,1
D0B6MQ,T67894,1
D0W1ZW,T17523,1
D0W1ZW,T50089,1
D0PI4H,T11241,1
D0A3YN,T23714,1
D06DYN,T50089,1
D06DYN,T11241,1
D06DYN,T17523,1
D06DYN,T13852,1
D0PL0Y,T67684,1
D07ZNP,T62841,1
D0Q1HN,T78205,1
D0K8VA,T34234,1
D0J6JT,T84117,1
D0J6JT,T83813,1
D0J6JT,T79062,1
D0J6JT,T16691,1
D0J6JT,T32060,1
D0J6JT,T31204,1
D02BOW,T67684,1
D03OCS,T62306,1
D03FQP,T62306,1
D06ZDF,T62306,1
D08LVH,T25608,1
D01BTF,T70539,1
D01BTF,T09572,1
D0A1GQ,T21038,1
D0W2TQ,T61243,1
D01BJB,T82702,1
D0JK0I,T51408,1
D0EN7T,T86591,1
D0Y8UF,T89534,1
D0HI5B,T93788,1
D01VZL,T93788,1
D0K8DZ,T64765,1
D0Q8NO,T64765,1
D0MP8E,T26500,1
D0W6RV,T83813,1
D06SCS,T80896,1
D01OIK,T51408,1
D05RRZ,T28330,1
D0J4BF,T60182,1
D09LPG,T97613,1
D0G8FF,T39380,1
D0E9AY,T51385,1
D0CT1F,T13726,1
D09BLB,T87023,1
D0WO3A,T67684,1
D06JXH,T23714,1
D0YA7R,T77796,1
D06SDD,T62820,1
D08RQW,T99816,1
D00AII,T86591,1
D0WB8E,T97917,1
D0WB8E,T87831,1
D07BAH,T99524,1
D04SEX,T89534,1
D0E1EC,T99816,1
D09TNC,T05849,1
D08XGH,T03818,1
D08XGH,T86591,1
D0P0KG,T97917,1
D0P0KG,T16336,1
D0OF3B,T95605,1
D0Y2JI,T41580,1
D0Y2JI,T01777,1
D0Z0KY,T87670,1
D0R1ZD,T87670,1
D0I8TR,T65783,1
D0E3FR,T38012,1
D04PBD,T67162,1
D0S3XI,T88185,1
D07ZQB,T36059,1
D0RD0R,T94085,1
D07FTI,T49526,1
D0A0KP,T51408,1
D03DTZ,T20575,1
D00QTX,T68782,1
D09CUJ,T01777,1
D0S6SN,T97613,1
D0R1MM,T98091,1
D02JXQ,T59577,1
D04BOQ,T59577,1
D0K5QH,T59577,1
D0L7PI,T59577,1
D0FB7S,T59577,1
D0K0FI,T07806,1
D0K0FI,T11072,1
D0K0FI,T78709,1
D0YB0K,T67162,1
D0YB0K,T02551,1
D0K6TI,T86591,1
D0HH9N,T51426,1
D08NQW,T99347,1
D05SFA,T15497,1
D05SFA,T85467,1
D05SFA,T38529,1
D05SFA,T18876,1
D0Q9GU,T87670,1
D0G3TV,T87670,1
D0T2QL,T88185,1
D06QKW,T01777,1
D01BXE,T69506,1
D0O9ES,T15497,1
D0O9ES,T75797,1
D0O9ES,T85467,1
D03SAM,T26500,1
D0BB0O,T67818,1
D0BB0O,T46937,1
D08PJK,T79062,1
D08PJK,T16691,1
D08PJK,T15571,1
D08PJK,T11072,1
D0N8BJ,T84117,1
D0O3GF,T07806,1
D0O3GF,T11072,1
D0O3GF,T78709,1
D07OAF,T01777,1
D0PM5R,T36059,1
D0S3UM,T72267,1
D0S3UM,T87670,1
D0O9ES,T76198,1
D0O9ES,T68782,1
D07TVE,T88185,1
D0VA7C,T93788,1
D06KHW,T93788,1
D09JXR,T28213,1
D0G1UE,T96235,1
D0G1UE,T33584,1
D0G1UE,T42392,1
D0R1XY,T92072,1
D09RRF,T61657,1
D05QYR,T61657,1
D0R8GW,T49072,1
D0C6QI,T13714,1
D0A1MW,T39716,1
D0W3PY,T55956,1
D0W3PY,T99402,1
D0W3PY,T77548,1
D00EOP,T86591,1
D00EOP,T03818,1
D05NWF,T35664,1
D05NWF,T67818,1
D05NWF,T90782,1
D05KEE,T50089,1
D05KEE,T11241,1
D05KEE,T17523,1
D0H4UN,T88531,1
D0M9DD,T83382,1
D06WXN,T88185,1
D0X3NW,T93788,1
D0D6OH,T37693,1
D0D6OH,T87670,1
D02WJT,T45674,1
D0O2WX,T99954,1
D09DAP,T87831,1
D01VLV,T87831,1
D0Q8TJ,T87831,1
D08TWT,T76198,1
D02OAI,T94085,1
D01IJD,T38529,1
D0A6NQ,T82146,1
D0L4IV,T75797,1
D09HJL,T83813,1
D09HJL,T32060,1
D05VOG,T75797,1
D01VIX,T51385,1
D0UH9E,T25608,1
D0B6WH,T11072,1
D0R4RN,T79961,1
D01STE,T18616,1
D0X0OP,T95923,1
D0X0OP,T92640,1
D0Q5SV,T16555,1
D0D5OY,T95923,1
D09KQZ,T63393,1
D0C5SV,T25608,1
D0C5SV,T51385,1
D09OYA,T78656,1
D0V6KN,T88531,1
D0A1SP,T03818,1
D03TNT,T30687,1
D00FHZ,T78709,1
D0K3UL,T24983,1
D02HHW,T36059,1
D02HHW,T92072,1
D01KPN,T86591,1
D0T8JM,T03818,1
D0K8VR,T76685,1
D04PFN,T68876,1
D07HQZ,T79062,1
D09OYA,T83813,1
D09OYA,T32060,1
D09OYA,T11072,1
D0Q7BG,T25608,1
D0SG6A,T01777,1
D00PQC,T82083,1
D03NXZ,T86679,1
D07PHS,T56923,1
D07PHS,T96079,1
D00ZXX,T13852,1
D00DIF,T86271,1
D0SY2M,T72841,1
D07HQZ,T16691,1
D07HQZ,T83813,1
D0LK5P,T74238,1
D0C0KJ,T63393,1
D0N9UZ,T02719,1
D01ETZ,T46521,1
D06VZE,T46521,1
D0I5CT,T30985,1
D00CDF,T46521,1
D0D9AS,T09909,1
D00QYH,T65783,1
D0A8EK,T86679,1
D0R5QF,T93788,1
D03QFD,T91894,1
D02HDI,T76685,1
D02HDI,T72267,1
D0I9LU,T67684,1
D04ZMM,T84439,1
D0K8ZZ,T86679,1
D0E1PL,T78709,1
D08SLS,T30985,1
D00GTC,T93788,1
D0X9YS,T79062,1
D0KI5P,T33902,1
D00DPX,T33902,1
D07ZGV,T33902,1
D0J4RI,T33902,1
D05PYO,T97917,1
D0H1EB,T97917,1
D01URR,T93788,1
D0J0NS,T05849,1
D04ULI,T75797,1
D06DUE,T27137,1
D0S3WN,T35664,1
D0S3WN,T67818,1
D0S3WN,T92689,1
D03BRM,T17523,1
D03BRM,T13852,1
D03BRM,T47888,1
D03BRM,T11241,1
D02VJX,T91894,1
D03YUL,T13714,1
D07TAL,T93788,1
D05VGC,T88185,1
D01OIJ,T30219,1
D00TYX,T11072,1
D00TYX,T07806,1
D06BXT,T37693,1
D0Q4EU,T03818,1
D0G9WE,T39716,1
D0Z4HK,T05849,1
D02RIH,T24793,1
D02RIH,T51115,1
D0H3MO,T31204,1
D07HTM,T51408,1
D0G8TM,T88185,1
D09IEO,T23714,1
D00FUT,T23714,1
D0Y4HL,T66237,1
D0Y4HL,T79232,1
D0Y4HL,T84486,1
D0GW6V,T23714,1
D0BS2Q,T84486,1
D0BS2Q,T79232,1
D02YBV,T59881,1
D02YBV,T79232,1
D02YBV,T66237,1
D0Q9SC,T76198,1
D0G5MT,T18876,1
D0G5MT,T38529,1
D01WXZ,T18876,1
D0SM3V,T30563,1
D0Y2XY,T30563,1
D00GHK,T61722,1
D0X4NG,T61722,1
D03OYD,T75797,1
D06AVM,T62974,1
D0R4GX,T88185,1
D08EXR,T46828,1
D0S9YX,T72841,1
D0S9YX,T59875,1
D02RQP,T80896,1
D07YTL,T94085,1
D0U1SF,T99954,1
D01BWV,T13644,1
D05JMJ,T13644,1
D0X2NO,T22118,1
D0X2NO,T46828,1
D08TAN,T62276,1
D08TAN,T22285,1
D0U7BH,T31204,1
D04DKM,T61243,1
D04DKM,T27137,1
D04DKM,T77548,1
D04DKM,T99347,1
D04DKM,T02719,1
D04DKM,T62820,1
D0M8DU,T82083,1
D0CS4I,T61722,1
D0A0UL,T61722,1
D01RQK,T61722,1
D01RQK,T68782,1
D0X2MQ,T15497,1
D0X2MQ,T38529,1
D0X2MQ,T85467,1
D05MXO,T38529,1
D0N0NJ,T55956,1
D05NKX,T90818,1
D05NKX,T79780,1
D07FPQ,T28213,1
D07FPQ,T80513,1
D03TDN,T07806,1
D03TDN,T11072,1
D03TDN,T16691,1
D03TDN,T78709,1
D03TDN,T79062,1
D07UXB,T18876,1
D02XKE,T93788,1
D08TBF,T97613,1
D05GYG,T92828,1
D04TVG,T78656,1
D04TVG,T84117,1
D04TVG,T07806,1
D04TVG,T31204,1
D04TVG,T32060,1
D04TVG,T78709,1
D04TVG,T11072,1
D0Q0PN,T88185,1
D06QYM,T93788,1
D0S4FV,T93788,1
D0M3CG,T86679,1
D0V9OO,T36059,1
D0V9OO,T86679,1
D0FW8K,T22285,1
D0FW8K,T56588,1
D0FW8K,T76414,1
D0FW8K,T72595,1
D0OH2P,T99347,1
D0LC5O,T99402,1
D0LC5O,T55956,1
D0LC5O,T77548,1
D0U5YT,T99347,1
D0U5YT,T27137,1
D05UBB,T80513,1
D05UBB,T28213,1
D0B8SS,T93788,1
D0XY3G,T77913,1
D0G6AQ,T77913,1
D0G6AQ,T26500,1
D0T7AR,T77913,1
D0A6IQ,T77913,1
D08WOV,T97613,1
D0I4FF,T30563,1
D0K4GK,T13714,1
D0K4GK,T52297,1
D0K4GK,T51426,1
D0Q2RP,T13714,1
D0Q2RP,T52297,1
D08URT,T13714,1
D08URT,T52297,1
D06OVX,T25307,1
D06OVX,T59577,1
D0H2YM,T59577,1
D0H2YM,T52297,1
D0H2YM,T13714,1
D01ZZJ,T82083,1
D0SP2J,T79062,1
D06RNM,T30985,1
D08MNO,T99954,1
D08MNO,T85467,1
D08MNO,T76198,1
D08MNO,T18876,1
D08MNO,T68782,1
D0R9CC,T68782,1
D00ZCU,T83813,1
D06HDW,T69091,1
D09LXQ,T96235,1
D09LXQ,T33584,1
D09LXQ,T62391,1
D09LXQ,T42392,1
D0Q8BS,T64765,1
D0LX6R,T93788,1
D0E9QX,T86679,1
D0P6IV,T07806,1
D00HCI,T08133,1
D0C2DN,T87670,1
D08JYT,T87670,1
D0C2UJ,T86679,1
D0E1UA,T98091,1
D0T4BP,T98091,1
D0Q3QI,T00890,1
D0H6YF,T97613,1
D02EHY,T34234,1
D0BB0O,T35664,1
D0U1OJ,T92689,1
D0U1OJ,T35664,1
D03OGA,T97613,1
D06HDW,T92689,1
D05CYD,T09572,1
D0YO2D,T78205,1
D06DEL,T34234,1
D0W7RI,T76198,1
D0W7RI,T18876,1
D0W7RI,T68782,1
D0W7RI,T15497,1
D0W7RI,T99954,1
D0W7RI,T75797,1
D0W7RI,T38529,1
D0W7RI,T85467,1
D08KZJ,T61722,1
D0S0DT,T30563,1
D07MFG,T97613,1
D05OUQ,T28330,1
D0XM1U,T93788,1
D02KIM,T93788,1
D0D4TY,T67818,1
D08HOK,T93788,1
D0AT5L,T36059,1
D0U6NZ,T36059,1
D05LWE,T76198,1
D04UJZ,T09909,1
D0Q3WV,T97613,1
D07LJH,T31204,1
D07LJH,T83813,1
D0H6KD,T07806,1
D0H6KD,T11072,1
D09DKC,T01777,1
D09DKC,T29500,1
D0K6MI,T51408,1
D0T1BU,T92828,1
D00CRA,T07806,1
D00CRA,T78656,1
D00CRA,T11072,1
D00CRA,T16691,1
D00CRA,T31204,1
D0TC5E,T26500,1
D0V4RP,T79062,1
D03WIK,T87023,1
D05FOV,T93788,1
D0R2VH,T92640,1
D0R2VH,T95923,1
D0R2VH,T39380,1
D0R2VH,T56143,1
D0A8PD,T87023,1
D0B2NE,T36059,1
D0BT1A,T77913,1
D07TSE,T16555,1
D04IWB,T93515,1
D0E7LU,T99347,1
D0E7LU,T27137,1
D03GHN,T98091,1
D00FTQ,T00890,1
D0I8AF,T28330,1
D0I8AF,T05849,1
D0F8CC,T82146,1
D0F8CC,T61657,1
D0F8CC,T94085,1
D0I2EL,T93788,1
D0BW9V,T79062,1
D0BW9V,T78656,1
D0BW9V,T15571,1
D0P1US,T03818,1
D01YDR,T97613,1
D06RBG,T82702,1
D06RBG,T34234,1
D0T4WF,T90782,1
D02EBQ,T88185,1
D0K3LQ,T00890,1
D02SQF,T26500,1
D0GF4I,T93515,1
D0C3EX,T07806,1
D03RHW,T78656,1
D0P7RI,T93515,1
D0P7RI,T90782,1
D0G8XJ,T92072,1
D02UWB,T83813,1
D02UWB,T07806,1
D0P3WF,T53024,1
D0P3WF,T62974,1
D0P3WF,T16633,1
D0P3WF,T13644,1
D0P3WF,T64830,1
D02UHS,T86679,1
D0R6PF,T93788,1
D08WNN,T35664,1
D01WVV,T59604,1
D02VPW,T51408,1
D02UWB,T84117,1
D02UWB,T78656,1
D02UWB,T15571,1
D02UWB,T79062,1
D02UWB,T32060,1
D02UWB,T78709,1
D02UWB,T31204,1
D05DAG,T84117,1
D08SGV,T97613,1
D0ET2F,T88185,1
D0J7LY,T00890,1
D0Z6SY,T68834,1
D05LJD,T68834,1
D07CJR,T68834,1
D0Q2LG,T68834,1
D0B8PD,T97613,1
D0Z3WA,T11211,1
D09HQH,T11211,1
D0B7GU,T47768,1
D0B7GU,T60693,1
D0B7GU,T62912,1
D0B7GU,T58992,1
D0I4ME,T32060,1
D0R7ZC,T53381,1
D0R7ZC,T92609,1
D00HIG,T47768,1
D00HIG,T60693,1
D00HIG,T58992,1
D04EZN,T58992,1
D04EZN,T47768,1
D0N5QC,T47768,1
D0ZH3G,T58992,1
D0ZH3G,T60693,1
D0T8OD,T26500,1
D0MW7H,T46185,1
D0MW7H,T20709,1
D08CTL,T46185,1
D08CTL,T20709,1
D0IB8N,T62193,1
D0A8NB,T07806,1
D0L1XR,T46185,1
D08JOS,T52522,1
D0Q5SL,T84117,1
D0O3NG,T30985,1
D0D4ZL,T00895,1
D09AAZ,T20709,1
D09AAZ,T46185,1
D0OM9G,T64765,1
D09WQL,T64765,1
D04JCK,T58992,1
D04JCK,T47768,1
D0Y5QR,T77913,1
D06RRD,T86591,1
D0W6PP,T78581,1
D0E4JL,T67162,1
D0P0PP,T87166,1
D0F4BX,T76685,1
D0E4YP,T58992,1
D06VDN,T83813,1
D0A9PS,T76685,1
D02RAN,T26500,1
D0Y7CI,T58992,1
D05CRG,T53024,1
D02BPI,T69506,1
D0O7PT,T20331,1
D06EES,T58992,1
D04YNW,T60693,1
D07GMY,T60693,1
D0O9TT,T78656,1
D0H8ID,T58992,1
D07KMN,T51408,1
D0J1PJ,T60693,1
D01KWU,T67162,1
D0A9ED,T51408,1
D05QTJ,T01777,1
D04FBZ,T60693,1
D08ECP,T26500,1
DFBJ28,T23666,1
D02ONK,T67162,1
D0N1EF,T58921,1
D02RUO,T38529,1
D0T1SF,T11072,1
D0G2VT,T59604,1
D08ZIH,T02728,1
D0R5GS,T78709,1
D03GLM,T51408,1
D0Q2PF,T78709,1
D0F6AB,T52522,1
D0R1DP,T78709,1
D00YGA,T58921,1
D0PN9E,T59679,1
D02KAF,T64765,1
D0G1RT,T11072,1
D0Q7TH,T11072,1
D04JQR,T27137,1
D0LB4T,T03818,1
D0N0LB,T86271,1
D0PE1A,T47768,1
D0F6XR,T32060,1
D05HKB,T79961,1
D0J8UV,T28893,1
D0V4FK,T51408,1
D02FNU,T78709,1
D04DZE,T51408,1
D09TXO,T97917,1
D09TXO,T25705,1
D07IZG,T00254,1
D0HE1P,T92072,1
D0HE1P,T86679,1
D0HE1P,T36059,1
D03GWY,T58921,1
D09IJP,T28330,1
D02PSZ,T28330,1
D01WVJ,T58992,1
D00MIX,T51408,1
D08GNX,T28330,1
D0MT5C,T51408,1
D0WS1V,T51408,1
D06DPS,T28330,1
D06DPS,T05849,1
D0N0IQ,T72458,1
D0I5VA,T36059,1
D06PXT,T36059,1
D00GES,T76685,1
D40DVS,T00254,1
DW18LK,T00254,1
D95KWS,T12108,1
D8VH5Q,T25307,1
D4PG6A,T25307,1
DW5R6Y,T25307,1
D9D6QN,T25307,1
DRN30U,T25608,1
DDV09U,T25608,1
DZ28EB,T43206,1
D9D6QN,T43206,1
DNZ96J,T86273,1
D0LR1M,T59604,1
D0IE4H,T28893,1
D0T3EV,T28330,1
D0Q3ES,T93788,1
D0P9KL,T39123,1
D0YO4D,T94085,1
D08ZBT,T92072,1
D0B0EB,T58921,1
D0BN4Y,T78709,1
D0B0EB,T86591,1
D0T8KF,T78709,1
D04DGE,T83813,1
D0AV0O,T66237,1
D0D1VJ,T28893,1
D0JN3M,T28893,1
D0O9EM,T78709,1
D03RYS,T66237,1
D0U7VZ,T59679,1
D0V5DX,T92072,1
D0G5ZL,T78709,1
D00ACC,T52921,1
D0A8IE,T32060,1
D0A8IE,T79961,1
D07MVE,T28893,1
D0IW4R,T47768,1
D03ACT,T37693,1
D0E3XG,T74456,1
